Year;Airlines;Delay
2000;AA;9,3036
2000;AQ;2,5017
2000;AS;12,1452
2000;CO;6,7081
2000;DL;7,9747
2000;HP;14,2772
2000;NW;5,768
2000;TW;8,9446
2000;UA;17,3881
2000;Uniqu;0
2000;US;9,46
2000;WN;10,3522
2001;AA;5,5074
2001;AQ;4,7532
2001;AS;11,2462
2001;CO;3,2185
2001;DL;4,7777
2001;HP;8,0593
2001;MQ;7,1879
2001;NW;3,0398
2001;TW;4,1411
2001;UA;8,183
2001;Uniqu;0
2001;US;3,3494
2001;WN;4,7575
2002;AA;1,1673
2002;AS;5,2655
2002;CO;2,2844
2002;DL;5,6401
2002;HP;2,4509
2002;MQ;4,0877
2002;NW;3,4761
2002;UA;2,4105
2002;Uniqu;0
2002;US;1,4519
2002;WN;3,8438
2003;AA;3,149
2003;AS;3,0992
2003;B6;0,9794
2003;CO;3,7467
2003;DH;6,2741
2003;DL;3,8085
2003;EV;6,4907
2003;FL;8,2572
2003;HA;-0,1423
2003;HP;3,0251
2003;MQ;4,0991
2003;NW;1,9362
2003;OO;2,247
2003;TZ;4,8943
2003;UA;3,0751
2003;Uniqu;0
2003;US;4,1517
2003;WN;2,0395
2003;XE;5,1176
2004;AA;7,9799
2004;AS;6,4749
2004;B6;1,6157
2004;CO;6,8124
2004;DH;7,2504
2004;DL;8,0693
2004;EV;5,6422
2004;FL;7,6915
2004;HA;-2,0638
2004;HP;6,7994
2004;MQ;8,8855
2004;NW;5,6356
2004;OH;4,5961
2004;OO;3,7136
2004;TZ;5,5164
2004;UA;5,8948
2004;Uniqu;0
2004;US;4,3985
2004;WN;6,201
2004;XE;7,7244
2005;AA;8,1702
2005;AS;11,9825
2005;B6;10,6788
2005;CO;8,4725
2005;DH;5,8778
2005;DL;7,6846
2005;EV;9,4826
2005;F9;3,4917
2005;FL;14,1514
2005;HA;-2,3023
2005;HP;3,3
2005;MQ;7,4032
2005;NW;8,6768
2005;OH;3,3024
2005;OO;3,7718
2005;TZ;4,5772
2005;UA;7,4487
2005;Uniqu;0
2005;US;6,4975
2005;WN;5,2819
2005;XE;8,6612
2006;AA;9,4219
2006;AQ;-0,6321
2006;AS;8,9611
2006;B6;10,8068
2006;CO;11,2124
2006;DL;6,8902
2006;EV;14,1703
2006;F9;4,6019
2006;FL;9,348
2006;HA;-1,0269
2006;MQ;10,4692
2006;NW;7,9468
2006;OH;8,6404
2006;OO;7,9976
2006;TZ;15,58
2006;UA;10,2646
2006;US;6,5434
2006;WN;4,9944
2006;XE;10,4388
2006;YV;11,2384
2007;9E;7,8659
2007;AA;13,9857
2007;AQ;-1,3649
2007;AS;9,0857
2007;B6;13,1357
2007;CO;10,1419
2007;DL;7,1869
2007;EV;16,618
2007;F9;7,393
2007;FL;7,8387
2007;HA;-0,4287
2007;MQ;12,4089
2007;NW;12,2969
2007;OH;12,6116
2007;OO;8,617
2007;UA;12,4171
2007;Uniqu;0
2007;US;11,293
2007;WN;5,4172
2007;XE;9,7201
2007;YV;10,5248
2008;9E;3,9875
2008;AA;12,2029
2008;AQ;-2,8709
2008;AS;4,7214
2008;B6;10,8594
2008;CO;10,8098
2008;DL;7,7162
2008;EV;10,0003
2008;F9;6,0841
2008;FL;8,9882
2008;HA;1,2519
2008;MQ;9,497
2008;NW;7,2935
2008;OH;11,4041
2008;OO;6,4389
2008;UA;11,0016
2008;US;2,801
2008;WN;5,1157
2008;XE;10,3203
2008;YV;11,3226