airlineCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,AVG,MEDIAN
AA,7865606,6181171,3770725,3459811,6196410,6307716,6776914,9066828,7802966,6380905.22222222,6307716
AQ,17268,219683,-,-,-,-,-3908,20168,-10844,48473.4,17268
AS,1899553,1652522,1144349,916855,1468593,2106401,1473647,1691897,1020350,1486018.55555556,1473647
B6,-,-,-,378292,556397,1139506,1751381,2767110,2440878,1505594,1445443.5
CO,3289400,2029647,821796,1171639,1775949,2323384,3393126,3774557,3886953,2496272.33333333,2323384
DL,8287197,6018513,4011043,2973962,5193312,5218108,4039668,3686443,3564817,4777007,4039668
EV,-,-,-,2374338,2752684,3836495,4371670,5607544,3285923,3704775.66666667,3561209
F9,-,-,-,-,-,303223,453707,721561,565097,510897,509402
FL,-,-,-,988221,1602802,2936370,2586282,2354142,2403285,2145183.66666667,2378713.5
HA,-,-,-,8062,-10680,-53692,-63173,-49390,27887,-23497.6666666667,-30035
MQ,-,4744165,2369391,2089144,3943791,3921978,6075136,6830165,5054033,4378475.375,4343978
NW,4140802,2989737,2439309,1077871,2102740,3716396,3005005,3630596,2228375,2814536.77777778,2989737
OH,-,-,-,-,3149903,2457561,2544892,2835919,2205401,2638735.2,2544892
OO,-,-,-,2125532,2982997,2941282,4729541,4848850,4137595,3627632.83333333,3560296
TZ,-,-,-,327166,370663,197806,249165,-,-,286200,288165.5
UA,12895873,7399741,2720805,2512578,3978918,4612759,5831704,6648458,6196282,5866346.44444444,5831704
US,6586411,3870767,1860425,1693836,2830401,3515474,3939983,5787520,2556181,3626777.55555556,3515474
WN,11470445,8230629,8447603,6360097,9955591,10423665,11224333,12094777,12349540,10061853.3333333,10423665
XE,-,-,-,1332807,1921948,2698243,4271628,5035103,4154705,3235739,3426474
YV,-,-,-,-,-,-,4206546,3489825,2950054,3548808.33333333,3489825
9E,-,-,-,-,-,-,-,2285792,1726803,2006297.5,2006297.5
DH,-,-,-,2638536,2932459,877846,-,-,-,2149613.66666667,2638536
HP,3028721,2007274,1216779,1092074,1553263,1299227,-,-,-,1699556.33333333,1426245